"userid","total_deposited","total_stakes","play_ratio_pct"
68345,10038.27,29.26,0.29
56009,10027.10,21.22,0.21
69435,9953.78,3296.82,33.12
23034,9946.89,2005.98,20.17
68759,9914.14,0,0.00
6557,9885.00,57.43,0.58
51708,9738.26,0,0.00
50342,9735.45,122.74,1.26
10917,9660.00,0,0.00
35621,9628.30,0,0.00
3841,9555.50,0,0.00
64206,9520.70,331.95,3.49
17252,9479.03,1127.13,11.89
13061,9332.71,444.73,4.77
64273,9327.53,0,0.00
4227,9257.27,162.78,1.76
22385,9135.55,16.67,0.18
13637,9051.79,71.99,0.80
19146,9014.80,4064.88,45.09
40560,8904.30,2423.34,27.22
14846,8880.00,149.29,1.68
56441,8784.50,18.37,0.21
64938,8695.00,0,0.00
40300,8529.00,250.63,2.94
29367,8514.60,78.73,0.92
64472,8465.00,1831.99,21.64
61348,8450.00,0,0.00
2170,8400.00,884.52,10.53
26378,8399.00,0.00,0.00
56378,8312.00,443.58,5.34
58498,8197.40,137.84,1.68
43093,8156.60,36.42,0.45
59726,8128.00,0.37,0.00
27242,8100.00,21.90,0.27
35208,8087.40,427.31,5.28
39422,8084.90,125.73,1.56
59477,7987.40,3.91,0.05
22828,7976.57,57.81,0.72
37220,7967.69,644.17,8.08
25438,7900.80,1.64,0.02
48538,7881.95,263.08,3.34
9915,7850.00,2389.61,30.44
17372,7825.00,61.91,0.79
42569,7797.68,43.55,0.56
22276,7766.44,2073.85,26.70
39917,7765.00,119.43,1.54
5437,7709.75,0,0.00
15721,7677.10,827.82,10.78
37129,7648.55,2547.62,33.31
39170,7579.78,406.83,5.37
11806,7515.00,1.85,0.02
12098,7482.81,40.06,0.54
41331,7408.00,189.94,2.56
36478,7243.60,4.47,0.06
43924,7222.57,570.94,7.90
66481,7130.00,650.32,9.12
27417,7109.80,21.38,0.30
59423,7082.84,0,0.00
20334,7036.00,67.04,0.95
22460,6999.38,357.28,5.10
51640,6990.24,0,0.00
16386,6970.00,154.67,2.22
20775,6942.15,6.04,0.09
13850,6928.76,0,0.00
72260,6895.00,6.82,0.10
57933,6853.00,0.08,0.00
17491,6822.00,0,0.00
32456,6816.59,951.33,13.96
27101,6775.20,9.19,0.14
53810,6725.00,95.60,1.42
20485,6705.42,0.00,0.00
9950,6680.00,0,0.00
4664,6658.88,20.78,0.31
43442,6655.00,683.96,10.28
8314,6590.00,26.42,0.40
59960,6554.83,15.63,0.24
71458,6535.31,162.19,2.48
6950,6380.00,695.13,10.90
58501,6368.60,6.24,0.10
22634,6310.00,63.43,1.01
69499,6280.90,509.00,8.10
69970,6267.49,279.00,4.45
603,6263.24,1263.84,20.18
21425,6191.85,2887.04,46.63
65017,6174.50,158.30,2.56
35239,6164.25,0,0.00
57932,6137.00,30.37,0.49
51998,6115.84,2543.45,41.59
48025,5980.20,400.94,6.70
14065,5970.00,41.64,0.70
16481,5950.00,1143.31,19.22
6484,5930.00,277.73,4.68
49280,5920.00,45.46,0.77
60800,5880.00,1665.02,28.32
67592,5870.00,1879.52,32.02
38149,5870.00,2.47,0.04
31073,5820.00,0,0.00
9027,5800.00,0,0.00
19022,5760.99,0,0.00
39799,5740.00,1948.58,33.95
59110,5692.00,328.00,5.76
12571,5690.00,0,0.00
27216,5654.41,148.50,2.63
9685,5549.00,0.00,0.00
58730,5473.10,684.78,12.51
10424,5467.20,314.58,5.75
23753,5437.94,121.07,2.23
66346,5432.00,0.11,0.00
46990,5419.36,1022.49,18.87
11774,5399.59,0,0.00
23718,5387.97,0,0.00
19417,5335.70,1551.66,29.08
44600,5310.00,114.19,2.15
4861,5264.00,0.00,0.00
12148,5246.00,147.19,2.81
56543,5189.75,648.02,12.49
45810,5166.60,438.13,8.48
8385,5126.40,0,0.00
36919,5124.87,38.22,0.75
21234,5110.62,0,0.00
48223,5105.00,0,0.00
20217,5067.14,1261.26,24.89
72364,5035.00,138.06,2.74
702,4991.15,1252.34,25.09
27353,4959.00,0,0.00
13757,4947.10,1639.70,33.14
70011,4930.00,138.30,2.81
32332,4925.09,119.71,2.43
64867,4910.54,97.84,1.99
72412,4888.00,330.49,6.76
22632,4872.41,542.93,11.14
12505,4850.00,459.15,9.47
71934,4839.70,42.45,0.88
52309,4830.39,180.08,3.73
54822,4784.39,71.35,1.49
28708,4780.00,481.85,10.08
41102,4758.60,410.28,8.62
34492,4751.90,209.02,4.40
47430,4743.85,374.84,7.90
14628,4727.50,89.91,1.90
49828,4625.00,40.76,0.88
32840,4623.37,0,0.00
67644,4500.00,0,0.00
43177,4491.76,676.61,15.06
35368,4453.28,0,0.00
17745,4440.00,0.09,0.00
28163,4380.61,1.66,0.04
49999,4320.00,77.75,1.80
53698,4300.00,0.92,0.02
18772,4288.80,152.58,3.56
64953,4277.47,0,0.00
15222,4275.00,0,0.00
62879,4245.00,1370.33,32.28
16601,4233.00,133.04,3.14
41404,4213.09,0,0.00
19557,4210.00,490.14,11.64
17861,4186.08,489.44,11.69
43761,4180.00,0.00,0.00
32649,4139.00,3.46,0.08
56579,4126.20,339.87,8.24
42323,4126.09,485.16,11.76
40792,4125.00,14.52,0.35
6478,4124.40,337.59,8.19
28373,4101.85,16.49,0.40
41038,4063.13,1718.51,42.30
21701,4036.06,372.26,9.22
8450,4030.10,0,0.00
51347,4030.00,2.60,0.06
65170,4010.00,0,0.00
590,4010.00,0,0.00
59016,3975.08,6.83,0.17
18553,3940.00,122.62,3.11
37728,3915.00,20.41,0.52
36306,3895.82,222.61,5.71
48888,3880.00,19.78,0.51
67697,3865.00,15.14,0.39
55897,3861.00,88.05,2.28
16752,3833.00,64.50,1.68
49814,3819.98,958.94,25.10
31262,3814.46,0,0.00
46678,3768.90,206.78,5.49
40192,3751.28,494.92,13.19
45847,3729.00,0,0.00
65078,3710.00,0,0.00
71632,3663.80,7.85,0.21
50109,3647.09,407.23,11.17
18410,3645.34,140.41,3.85
6146,3625.00,73.05,2.02
28837,3585.00,17.05,0.48
60216,3580.99,0,0.00
48783,3525.00,56.28,1.60
21595,3435.00,0,0.00
49996,3423.94,831.90,24.30
61204,3389.00,0,0.00
56284,3379.00,410.38,12.15
30711,3365.00,1374.88,40.86
52725,3352.00,175.65,5.24
62935,3321.00,94.60,2.85
31078,3224.96,5.08,0.16
7170,3223.80,0,0.00
67894,3200.00,11.89,0.37
38572,3198.20,100.45,3.14
8003,3170.00,6.40,0.20
4797,3154.38,387.47,12.28
18097,3146.33,402.31,12.79
50827,3140.68,963.52,30.68
35660,3136.04,118.88,3.79
24971,3120.00,4.78,0.15
50195,3111.81,0,0.00
2029,3106.50,0,0.00
49295,3091.24,34.48,1.12
65153,3086.84,0,0.00
40951,3057.40,30.68,1.00
17507,3055.09,0,0.00
23194,3045.00,460.12,15.11
22127,3041.60,7.35,0.24
41356,3037.20,15.02,0.49
72171,3020.88,0,0.00
13640,3015.00,303.31,10.06
29416,3011.55,3.51,0.12
57591,3010.00,0,0.00
64756,2994.54,1.02,0.03
32610,2987.31,0,0.00
3605,2983.43,89.45,3.00
34552,2968.00,23.64,0.80
51713,2965.80,4.24,0.14
68304,2946.00,0,0.00
34336,2943.00,187.66,6.38
14256,2940.66,0.00,0.00
28474,2935.03,437.17,14.89
72365,2925.90,0,0.00
19339,2919.00,207.93,7.12
19674,2898.32,1008.32,34.79
72394,2882.00,0,0.00
17346,2876.60,1163.38,40.44
61992,2876.00,21.11,0.73
38,2859.22,1055.48,36.91
54178,2845.00,955.23,33.58
21681,2835.82,3.62,0.13
66187,2826.04,85.66,3.03
52069,2824.10,42.85,1.52
40056,2824.00,0,0.00
3755,2815.00,0,0.00
16331,2796.97,126.36,4.52
66075,2795.00,0.24,0.01
66266,2777.33,170.90,6.15
5906,2750.00,304.18,11.06
11823,2748.70,1092.84,39.76
62941,2745.00,0.18,0.01
42981,2736.55,87.82,3.21
40682,2732.74,446.08,16.32
45083,2720.50,51.95,1.91
31949,2719.57,389.57,14.32
41588,2711.60,0,0.00
69487,2700.37,93.46,3.46
68120,2700.00,0.13,0.00
37989,2685.00,0,0.00
35128,2683.73,365.11,13.60
58982,2680.92,0,0.00
11982,2671.00,323.81,12.12
55955,2657.36,0.04,0.00
20755,2654.70,314.01,11.83
33353,2649.40,107.44,4.06
23016,2639.33,1225.82,46.44
15363,2636.00,10.68,0.41
22245,2605.47,135.05,5.18
10449,2604.61,111.46,4.28
67168,2582.84,30.87,1.20
72063,2580.60,605.83,23.48
47994,2575.00,170.10,6.61
5713,2540.00,0.00,0.00
39619,2535.00,282.69,11.15
23878,2532.00,801.48,31.65
34126,2530.42,0.09,0.00
1137,2523.21,1156.70,45.84
70,2520.40,27.54,1.09
32961,2512.00,25.62,1.02
7840,2500.31,0,0.00
72185,2500.00,139.91,5.60
46228,2500.00,11.45,0.46
37018,2465.57,33.67,1.37
65632,2460.00,137.45,5.59
38639,2459.62,678.39,27.58
2916,2456.38,2.38,0.10
48339,2455.00,10.90,0.44
64499,2430.00,202.93,8.35
57045,2405.00,258.19,10.74
6903,2402.15,47.20,1.96
35329,2400.70,606.80,25.28
60716,2400.00,90.73,3.78
8441,2400.00,599.40,24.98
49888,2390.00,0,0.00
25017,2374.31,0,0.00
8693,2363.94,182.43,7.72
26748,2356.26,752.48,31.94
52519,2348.37,579.04,24.66
23428,2340.00,61.22,2.62
30742,2318.42,164.16,7.08
51005,2317.88,0,0.00
21501,2315.00,436.37,18.85
67068,2314.30,413.83,17.88
36446,2312.50,0.04,0.00
33629,2302.00,624.82,27.14
44793,2285.00,1080.31,47.28
10518,2278.00,0,0.00
25576,2276.27,172.63,7.58
54783,2263.31,993.30,43.89
64095,2256.02,76.98,3.41
65908,2255.00,0,0.00
66464,2244.75,111.26,4.96
8509,2227.50,359.61,16.14
13667,2225.35,911.62,40.97
628,2225.00,208.46,9.37
62333,2215.00,0,0.00
13448,2214.24,0,0.00
