"UserID","Date","Trnmnts","StakesT","WinningsT"
38,2016-03-10,1,0.99822,0
38,2016-03-12,1,1.99565,9.07112
38,2016-03-16,1,1.97669,0
38,2016-03-25,1,1.96522,0
38,2016-03-31,1,1.94479,3.53597
38,2016-04-06,1,1.93318,0
38,2016-04-11,3,5.79368,0
38,2016-05-07,2,5.76524,2.62057
38,2016-05-17,1,1.94394,0
38,2016-05-20,1,4.87671,22.16685
38,2016-05-26,4,13.79307,25.49682
38,2016-05-27,3,8.85708,16.42586
38,2016-05-28,2,3.93648,0
38,2016-05-30,1,1.98007,0
38,2016-05-31,1,4.95018,0
38,2016-06-04,2,9.8354,9.04856
38,2016-06-07,1,1.93575,0
38,2016-06-25,3,14.53347,15.8547
38,2016-06-27,1,4.95558,0
38,2016-07-01,2,6.93456,9.114
38,2016-07-02,1,4.95326,0
38,2016-07-04,3,14.82693,9.20168
38,2016-07-05,4,21.73112,36.79924
38,2016-07-07,2,6.94728,0
38,2016-07-08,11,19.7867,13.10238
38,2016-07-09,2,3.97104,3.66419
38,2016-07-10,3,5.95656,0
38,2016-07-11,1,1.98552,0
38,2016-07-12,1,1.99169,0
38,2016-07-13,11,26.31033,22.92564
38,2016-07-14,7,10.92277,3.61142
38,2016-07-20,15,29.91765,25.81978
38,2016-07-21,7,13.96157,14.66868
38,2016-07-25,13,24.93137,22.03022
38,2016-07-27,4,4.2882,0.36264
38,2016-07-30,3,5.98353,5.43956
38,2016-07-31,1,4.98627,0
38,2016-08-01,1,1.99451,0
38,2016-08-04,1,0.98269,0
38,2016-09-19,3,3.13103,1.779
38,2016-09-25,8,13.33975,3.2101
38,2016-09-30,3,8.83156,6.49432
38,2016-10-02,6,7.84188,0.17822
38,2016-10-07,2,6.86746,4.31669
38,2016-10-08,5,9.4414,0
38,2016-10-15,11,40.91074,18.46879
38,2016-10-17,5,4.31222,2.00569
38,2016-10-28,4,10.08823,1.90759
38,2016-10-30,1,2.01702,3.72231
38,2016-10-31,6,11.59785,7.44462
38,2016-11-04,3,7.44585,13.12275
38,2016-11-05,1,4.95554,9.22631
38,2016-11-06,1,4.95554,11.02832
38,2016-11-08,2,6.95793,0
38,2016-11-09,6,22.86177,18.5063
38,2016-11-14,1,5.06838,0
38,2016-11-16,2,4.0838,0
38,2016-11-19,4,17.49086,15.97561
38,2016-12-14,4,11.43246,7.89878
38,2016-12-17,2,7.35617,0
38,2016-12-18,6,5.14932,2.98068
38,2016-12-23,2,4.22598,0
38,2016-12-24,1,5.26694,9.69117
38,2016-12-27,3,8.42089,9.68403
38,2016-12-31,3,6.3138,0
38,2017-01-01,6,9.36547,2.29592
38,2017-01-02,9,22.01128,22.44637
38,2017-01-03,3,9.41476,6.92318
38,2017-01-04,2,4.18434,4.60277
38,2017-01-05,2,4.21472,3.88904
38,2017-01-06,1,2.10736,0
38,2017-01-07,3,9.39627,5.12524
38,2017-01-09,1,5.22015,0
38,2017-01-10,1,5.21886,0
38,2017-01-11,8,16.66388,17.53323
38,2017-01-12,14,37.4336,53.44692
38,2017-01-14,9,23.81558,11.78541
38,2017-01-15,9,33.13472,0
38,2017-01-16,2,4.136,6.768
38,2017-01-17,1,2.068,4.7376
38,2017-01-18,1,5.17,0
38,2017-01-19,3,6.17607,0
38,2017-01-20,5,13.44264,16.35677
38,2017-01-29,4,7.17962,10.14472
38,2017-01-30,2,4.10264,3.89751
38,2017-01-31,1,1.02829,3.3653
38,2017-02-01,5,14.87985,0.96918
38,2017-02-02,1,1.0251,0
38,2017-02-07,2,7.15913,13.29552
38,2017-02-20,1,2.0694,0
38,2017-03-01,4,5.2955,8.49545
38,2017-03-02,2,5.42047,11.97809
38,2017-03-03,4,11.46636,24.71429
38,2017-03-04,2,4.18048,0
38,2017-03-16,1,2.06942,0
38,2017-03-18,5,12.30161,9.02118
38,2017-03-19,1,2.05027,0
38,2017-03-20,7,18.45241,27.32449
38,2017-04-23,2,3.07446,4.47194
38,2017-04-26,3,6.07896,6.70529
38,2017-04-28,1,2.01648,6.67272
38,2017-05-04,1,2.01622,0
38,2017-05-05,1,2.01436,0
38,2017-05-06,9,10.27324,9.04629
38,2017-05-07,2,4.02872,6.66569
38,2017-05-08,2,4.01547,3.7174
38,2017-05-09,4,9.00498,19.64726
38,2017-05-12,2,6.07231,0
38,2017-05-13,1,5.06026,16.89208
38,2017-05-14,3,9.10848,13.15668
38,2017-05-15,5,18.21694,11.26139
38,2017-05-16,6,18.10374,13.32382
38,2017-05-17,4,2.31021,0.36525
38,2017-08-02,1,1.86937,0
38,2017-08-04,7,14.8664,7.23046
38,2017-08-17,5,20.60045,19.96202
38,2017-08-18,1,0.93743,0
38,2017-08-20,1,0.93688,0
38,2017-08-22,2,3.73582,4.25374
38,2017-08-23,3,4.6708,0
38,2017-08-27,9,24.23743,35.24593
38,2017-08-30,5,17.49542,0
38,2017-08-31,1,1.8439,6.31116
38,2017-09-02,5,9.2575,21.10706
38,2017-09-05,1,1.84928,0
38,2017-09-06,1,4.62057,15.97037
38,2017-09-09,13,37.65914,61.85782
38,2017-09-11,1,4.5764,0
38,2017-09-13,2,6.43943,16.89305
38,2017-09-15,5,11.05424,4.19559
38,2017-09-16,1,0.925,1.73227
38,2017-09-21,1,1.83722,6.28831
38,2017-09-22,3,5.51166,0
38,2017-09-23,2,1.84706,0
38,2017-09-27,2,3.72518,0
38,2017-10-01,7,11.2188,4.95496
38,2017-10-03,8,26.209,31.22105
38,2017-10-05,3,5.61057,0
38,2017-10-06,6,11.22114,3.63837
38,2017-11-03,1,0.94395,0
38,2017-11-04,3,7.55159,18.43273
38,2017-11-05,5,11.32739,22.73199
38,2017-11-07,1,1.89587,4.31741
38,2017-11-08,2,6.63555,13.60717
38,2018-02-22,2,3.57212,0
38,2018-02-23,13,27.69583,20.52436
38,2018-02-24,2,6.26048,0
38,2018-02-25,2,2.68306,0
38,2018-03-03,3,3.60536,9.88194
38,2018-03-04,9,17.12545,21.74685
38,2018-03-05,3,4.4655,12.22732
38,2018-03-06,6,9.82202,17.15117
38,2018-03-07,7,10.69408,13.40409
38,2018-03-08,1,0.88619,3.52864
38,2018-03-09,4,5.33674,3.4608
38,2018-03-10,3,8.0051,21.46017
38,2018-03-11,11,20.45748,8.63583
38,2018-03-12,3,5.3643,11.62262
38,2018-03-13,5,8.04393,10.43108
38,2018-03-14,6,30.27416,20.91972
38,2018-03-15,8,15.11794,17.72322
38,2018-03-16,1,1.77714,0
38,2018-03-17,1,1.78213,3.46706
38,2018-03-18,2,2.6732,3.46706
38,2018-03-19,5,8.9533,17.82522
38,2018-03-20,1,1.78839,0
38,2018-03-21,5,8.94495,16.56447
38,2018-03-22,7,10.74219,14.18355
38,2018-03-23,11,25.86829,23.26523
38,2018-03-24,5,17.84019,20.60542
38,2018-03-25,4,8.9201,3.47073
38,2018-03-27,1,4.4315,0
38,2018-03-28,8,36.31006,20.80381
38,2018-03-29,4,15.12075,8.71668
38,2018-03-30,10,18.73997,20.5646
38,2018-03-31,6,10.7226,9.59346
38,2018-04-01,6,9.82904,13.73627
38,2018-04-02,5,10.71622,1.72211
38,2018-04-03,1,1.78568,4.06649
38,2018-04-04,3,7.16062,0
38,2018-04-12,3,5.33559,0
38,2018-04-13,8,13.36191,28.11118
38,2018-04-14,10,16.93565,10.99601
38,2018-04-15,12,21.3924,21.74082
38,2018-04-16,4,5.35376,13.61152
38,2018-04-17,2,2.66966,0
