"userid","total_deposited","last_play","days_inactive","status"
66460,15923.10,"2015-09-21",1929,"Churned"
55759,15911.59,"2015-04-05",2098,"Churned"
32926,15790.03,"2020-04-07",269,"Churned"
68319,15683.00,"2020-04-02",274,"Churned"
42192,15664.40,"2018-12-09",754,"Churned"
9093,15574.11,"2016-07-05",1641,"Churned"
17560,15435.00,"2019-10-27",432,"Churned"
64894,15400.00,"2016-06-15",1661,"Churned"
51366,15370.78,"2019-03-22",651,"Churned"
16845,15328.00,"2019-12-28",370,"Churned"
28732,15317.97,"2015-03-14",2120,"Churned"
29821,15277.50,"2015-12-04",1855,"Churned"
52573,15214.98,"2018-01-18",1079,"Churned"
3933,15057.35,"2020-04-18",258,"Churned"
62452,15024.00,"2015-10-26",1894,"Churned"
227,14878.00,"2020-06-23",192,"Churned"
50289,14727.55,"2020-05-13",233,"Churned"
55538,14642.00,"2020-07-24",161,"Churned"
63909,14617.56,"2016-09-20",1564,"Churned"
7334,14580.00,"2020-03-09",298,"Churned"
6946,14501.80,"2020-07-20",165,"Churned"
53960,14481.94,"2020-03-18",289,"Churned"
33327,14358.32,"2018-05-19",958,"Churned"
57584,14340.00,"2015-05-04",2069,"Churned"
64699,14103.94,"2016-05-30",1677,"Churned"
17078,14066.18,"2015-03-23",2111,"Churned"
68029,14020.00,"2015-11-01",1888,"Churned"
2683,13968.42,"2015-09-15",1935,"Churned"
30478,13966.00,"2018-04-14",993,"Churned"
45041,13948.73,"2017-10-02",1187,"Churned"
19450,13930.00,"2020-05-10",236,"Churned"
18065,13846.00,"2020-06-28",187,"Churned"
69225,13826.00,"2016-05-07",1700,"Churned"
37326,13655.90,"2020-06-05",210,"Churned"
39253,13363.50,"2017-05-31",1311,"Churned"
21628,13313.61,"2015-12-01",1858,"Churned"
46802,13114.59,"2018-11-18",775,"Churned"
9896,13075.00,"2015-02-17",2145,"Churned"
27052,12900.00,"2015-03-20",2114,"Churned"
8871,12743.00,"2020-02-17",319,"Churned"
6902,12487.20,"2017-06-16",1295,"Churned"
62692,12485.00,"2015-09-21",1929,"Churned"
39091,12474.00,"2018-02-25",1041,"Churned"
50849,12415.40,"2020-02-03",333,"Churned"
58678,12394.00,"2020-07-23",162,"Churned"
20187,12292.85,"2016-01-14",1814,"Churned"
29932,12270.98,"2015-06-06",2036,"Churned"
4961,12150.00,"2017-12-10",1118,"Churned"
66691,12107.42,"2017-02-18",1413,"Churned"
27872,12070.60,"2018-05-03",974,"Churned"
47710,11849.00,"2015-02-20",2142,"Churned"
4580,11846.11,"2016-04-25",1712,"Churned"
28690,11819.05,"2018-02-14",1052,"Churned"
43210,11794.17,"2017-06-12",1299,"Churned"
43585,11755.96,"2019-08-17",503,"Churned"
39164,11689.43,"2017-05-07",1335,"Churned"
5639,11654.49,"2015-02-23",2139,"Churned"
38158,11642.52,"2020-07-26",159,"Churned"
10562,11628.00,"2020-02-19",317,"Churned"
55614,11604.25,"2017-03-10",1393,"Churned"
69670,11598.78,"2016-02-15",1782,"Churned"
47540,11523.64,"2016-06-02",1674,"Churned"
71398,11520.00,"2018-06-24",922,"Churned"
20888,11511.26,"2016-02-29",1768,"Churned"
66516,11462.82,"2016-05-19",1688,"Churned"
14395,11432.00,"2015-08-12",1969,"Churned"
21670,11410.96,"2017-04-15",1357,"Churned"
67872,11404.40,"2016-02-13",1784,"Churned"
70498,11280.42,"2016-03-22",1746,"Churned"
19842,11280.00,"2019-08-25",495,"Churned"
42990,11214.10,"2019-02-28",673,"Churned"
22248,11209.88,"2020-05-24",222,"Churned"
43622,11129.56,"2015-07-20",1992,"Churned"
68745,11096.00,"2019-10-19",440,"Churned"
46647,10924.16,"2016-04-03",1734,"Churned"
39522,10890.00,"2015-11-29",1860,"Churned"
45626,10828.80,"2016-04-09",1728,"Churned"
43283,10775.00,"2019-08-11",509,"Churned"
41355,10664.00,"2015-04-28",2075,"Churned"
32992,10625.90,"2018-08-03",882,"Churned"
56279,10624.90,"2018-12-23",740,"Churned"
39134,10574.68,"2020-04-29",247,"Churned"
22258,10550.84,"2020-07-28",157,"Churned"
41248,10410.00,"2017-11-09",1149,"Churned"
47245,10236.00,"2018-04-24",983,"Churned"
39829,10112.00,"2018-03-07",1031,"Churned"
62529,10110.82,"2015-06-25",2017,"Churned"
4521,10064.96,"2015-09-21",1929,"Churned"
68345,10038.27,"2017-11-29",1129,"Churned"
54811,10027.18,"2015-03-30",2104,"Churned"
56009,10027.10,"2020-07-28",157,"Churned"
69435,9953.78,"2016-07-27",1619,"Churned"
23034,9946.89,"2019-09-02",487,"Churned"
68759,9914.14,"2015-11-10",1879,"Churned"
6557,9885.00,"2016-07-27",1619,"Churned"
23563,9849.20,"2018-09-19",835,"Churned"
51708,9738.26,"2016-06-06",1670,"Churned"
50342,9735.45,"2018-04-23",984,"Churned"
10917,9660.00,"2019-07-16",535,"Churned"
35621,9628.30,"2018-03-23",1015,"Churned"
3841,9555.50,"2020-03-22",285,"Churned"
64206,9520.70,"2016-07-27",1619,"Churned"
17252,9479.03,"2018-05-08",969,"Churned"
13061,9332.71,"2015-02-09",2153,"Churned"
64273,9327.53,"2018-08-26",859,"Churned"
34675,9300.00,"2015-02-27",2135,"Churned"
4227,9257.27,"2016-11-22",1501,"Churned"
50642,9139.00,"2017-03-16",1387,"Churned"
22385,9135.55,"2015-08-19",1962,"Churned"
13637,9051.79,"2017-12-05",1123,"Churned"
3805,9030.60,"2016-10-28",1526,"Churned"
19146,9014.80,"2017-03-22",1381,"Churned"
40560,8904.30,"2017-10-07",1182,"Churned"
14846,8880.00,"2019-08-16",504,"Churned"
56441,8784.50,"2019-08-13",507,"Churned"
23003,8766.60,"2018-09-14",840,"Churned"
64938,8695.00,"2020-04-25",251,"Churned"
65951,8585.95,"2015-06-27",2015,"Churned"
40300,8529.00,"2020-03-02",305,"Churned"
29367,8514.60,"2015-10-18",1902,"Churned"
64472,8465.00,"2018-12-27",736,"Churned"
61348,8450.00,"2020-03-07",300,"Churned"
